review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
1,5,"제품이 화면과 같았어요 이탈리아에서 직수입도어답게 튼튼하고 고급지네요 예뻐요 강추합니다
무엇보다 플래너님 매우 친절하시고 붙박이장 속 내부 디자인할때도 합리적이고 실용적이 되게 도와주셨어요 설치기사님은 빠르고 신속하게 설치해주시고 청소기 가져오셔서 먼지없이 청소까지해주시고 도어수평잘잡아서 꼼꼼하게 설치하고 유지관리하는법도 알려주셨어요 장 주변 실리콘도 깔끔하고 섬세하게 해주시고 그동안 한샘만 사봤는데 정말 리바트 서비스에 감동했네요 좋은 분들만나서 좋은 서비스로 예쁜 리바트장 사용하게되어 좋았습니다
다만 장 내부 뒷판이 너무 얇아보인다는게 아쉽지만 
260짜리 80센티 3통 약 115만원정도 들었네요 
한샘과 리바트 고민하신다면 리바트도 꽤 괜찮은것 같습니다~^^",appl****,21.04.07.,0,장롱/붙박이장,침실가구
,,,,,,,
2,5,"안방 한쪽면을 깔끔하게 채운 붙박이장을 보니  일반장보다 훨씬 좋네요.
디자인  색상  내외부 품질 모두 맘에 듭니다.
시공기사님이 오랜 시간 먼지 속에서 정말로 수고해주셨어요. 고맙습니다!",magu****,21.04.04.,0,장롱/붙박이장,침실가구
,,,,,,,
3,2,"상품 색 디자인 자재는 마음에 드나 시공팀 플레너를 잘 만나야할듯 합니다. 플레너와 얘기했던 부분과 시공이 제대로 이뤄지지 못해 참 당혹스럽네요. 장이 사선으로 시공됨에.... 참ㅡㅡ
끝쪽에 장문은 끝까지 닫히지도 않고",msh0****,21.04.06.,0,장롱/붙박이장,침실가구
,,,,,,,
4,5,"기사님 꼼꼼하게
작업해 주셨어요. 중간에 부품 파손 과정이 있어서 더 오래 걸리는 시공이었는데
종일 좋은 얼굴과 말투로 혼자 애 많이 쓰셨어요. 
질감 맘에 들어요. 알델리트로 꼼꼼히 닦아야 할듯하고 일단 시공 후에는 벽지를 걸레로 잘 닦으세요. 걸레받이나 벽에 톱밥 장난 아니에요. 그것은 고객 몫 맞죠.ㅎ 
그리고 문고리 하나 안달려서 기사님께 말씀은 드려놨는데 최대한 빠르게...... 마무리 설치 부탁 드릴게요!",prid****,21.03.09.,0,장롱/붙박이장,침실가구
,,,,,,,
5,5,마감도 깔끔하게 해주시고  디자인도 맘에들고  냄새도 거의없더라고요. E0 짱입니다.,wlsw****,21.03.23.,0,장롱/붙박이장,침실가구
,,,,,,,
6,5,"설치 기사님이 정말 친절하셨구요!
설치도 정말 꼼꼼히 해주셨어요!!
무엇보다도 제품상세설명과 동일한 상품이고 색감이나 질감이 정말 맘에 들어요~

좋은 제품에 합리적인 가격으로 구매할 수 있어서 최고!! 온라인 주문에서 실측  설치까지 후회없는 선택이였습니다.

기사님 감사합니다. 베스트 기사님^^
리바트 감사합니다. 좋은 상품 많이 만들어주세요~^^",blue****,21.03.02.,0,장롱/붙박이장,침실가구
,,,,,,,
7,4,"미리 배송일정 조율하고 잘 설치되었습니다.
측면 마감판 추가비용 6만7천원 있네요",izeu****,21.03.31.,0,장롱/붙박이장,침실가구
,,,,,,,
8,5,"최대한 배송일정에 맞춰 주실려고 하셨고
설치기사님도 혼자서 꼼꼼하게 잘 설치해주시고
뒷정리까지 아주 깔끔하게 해주셨답니다
잘쓰겠습니다",dore****,21.03.20.,0,장롱/붙박이장,침실가구
,,,,,,,
9,5,배송일도 맞춰주시고 설치기사님도 친절하시고 만족합니다! 수납공간이  예상보다 많아 너무 좋구요  깔끔합니다,suyo****,21.03.17.,0,장롱/붙박이장,침실가구
,,,,,,,
10,3,부품하나가 빠져있어요. 부품 보내주신다했는데 아직 인왔어요.,jong****,21.03.26.,0,장롱/붙박이장,침실가구
,,,,,,,
11,5,아주 연한 베이지로 색상이 고급스럽고 단정합니다,wooy****,21.03.26.,0,장롱/붙박이장,침실가구
,,,,,,,
12,4,"통사이즈가 작아서 만족스럽지만은 않네요
대체적으로 만족하는데 설치과정에서 문짝안쪽에 검정색 지문자국도있고 옷걸이봉도 삐뚤게 달아서 as 신청해둠",kkam****,21.03.11.,0,장롱/붙박이장,침실가구
,,,,,,,
13,5,"붙박이장 설치하고 한 주 뒤에 평을 올리게 되었네요.
결제하고 설치까지는 대략 2주정도가 걸렸어요. 옷 정리가 안돼서 최대한 빨리 필요했기 때문에 빨리 요청을 드렸지만 연말과 연휴가 걸려서 더 걸린것도 같아요.
견적방문으로 오신 분이 이승찬 실장님신데 첨 뵌 분이지만 차분하게 잘 설명해주시고 견적서를 받고 추가 결제 건으로도 이래저래 많이 질문을 했음에도 빠른 답변 주시고 시공 날짜를 정했습니다.
시공하시는 분은 전날 확인전화 주시고 오셨는데 한분이 오셔서 아침9시부터 12시 반정도 까지 깨끗하게 설치해주고 가셨네요.
보양작업도 해주셔서 나뭇가루는 좀 남았지만 전반적으로 깨끗히 치우고 가셨어요.
제일 중요한 붙박이장도 고민을 많이 했지만 폴리아로 선택하길 잘했고 샴페인골드색 손잡이가 너무 이쁩니다.
오프라인에서 구경하고 온라인으로 구매해서 질에 대해서 살짝 걱정했는데 기우였네요.
가격적으로나 품질적으로 너무나 만족스럽네요~^^",misu****,21.01.18.,0,장롱/붙박이장,침실가구
,,,,,,,
14,5,"좀 더 세밀하게 높낮이를 조정할 수 있었으면 좋겠다는 생각이지만  전체적으로 상담  시공  사용하는 과정에 있어서 만족스럽고 디자인도 맘에 드는 장입니다.
깔끔한 화이트톤으로 인테리어를 했고  그에 딱 맞는 붙박이장이라고 생각했어요. 사진과 실물이 같아서 더욱 좋네요. 시공해주시는분이 혼자 몇시간을 하시던데 무거운 판도 있고  2인1조로 빠르게 설치하는편이 좋을것 같다는 생각이 들었습니다.",wlsw****,21.01.11.,0,장롱/붙박이장,침실가구
,,,,,,,
15,5,"시공이 쉽지않으셨는데 
높낮이잘맞춰주시고
마감도 좋습니다
화장대로 같은재질로 추가해서 더깔끔합니다",soda****,21.03.03.,0,장롱/붙박이장,침실가구
,,,,,,,
16,4,"측면 사이즈가 조금 맞지않아서 턱진것만빼면
맘에들어요",kkam****,21.03.11.,0,장롱/붙박이장,침실가구
,,,,,,,
17,5,정해진 날짜에 미리 연락 주시고 방문했어요. 붙박이 설치하는 방문도 닫고 작업하셔서 소음도 덜했어요. 작업 후에는 친절히 설명까지 해주시고 친절했습니다. 작업은 아침9시 넘어 시작하셔서 오후 2시 좀 넘어 끝났어요. 실리콘으로 깔끔히 마무리 되어 사용하면 튼튼할것 같습니다. 서비스 완전 만족해요^^,agne****,21.01.04.,0,장롱/붙박이장,침실가구
,,,,,,,
18,5,저희동네 설치기사님 정말 최고입니다 너무나 친절하고 영업소의 실수도 기술로 해결해주셨어요! 너무 감사드리고 붙박이장도 정말 사진처럼 똑같이 예뻐요 나중에 큰 곳으로 이사가서 더 많이 주문하고싶어요,s_so****,21.02.24.,0,장롱/붙박이장,침실가구
,,,,,,,
19,5,"여덟시에 시작해서 다섯시쯤 끝났어요..
기사님 너무 힘드셨을거같네요ㅜㅜ
마무리까지 잘 해주셨습니다 ????",hyun****,21.02.06.,0,장롱/붙박이장,침실가구
,,,,,,,
20,5,세일해서 저렴하게 잘 구입했어요. 기사님이 혼자 오셔서 튼튼하게 잘 시공해주셨어요. 사진처럼 깨끗하구요. 우려했던 냄새부분도 새집용 분무소독제로 뿌려서 닦고 환기 잘 시키면서 사용하니 심하진 않아요.,ohmo****,21.01.09.,0,장롱/붙박이장,침실가구
,,,,,,,
21,5,친절하고 깔끔하게 시공해주셨어요. 감사합니다!,ja10****,21.02.17.,0,장롱/붙박이장,침실가구
,,,,,,,
22,5,"부모님 댁에 설치했는데  주택이라 층고가 높아요.
최대한 집 환경에 맞도록 애 써 주셔서 고맙습니다^^
깔끔하게 잘 설치됐어요",weej****,21.02.01.,0,장롱/붙박이장,침실가구
,,,,,,,
23,5,상품좋고 플래너님 상담잘해주시고 감사합니다^^,golf****,21.03.03.,0,장롱/붙박이장,침실가구
,,,,,,,
24,5,"너무좋습니다.
만족해요",gueg****,21.03.10.,0,장롱/붙박이장,침실가구
,,,,,,,
25,4,이사하면서 전주인이 기존 붙박이를 철거해가서 새로 할까말까 했는데 설치하기를 잘했네요.  깔끔한 무광 화이트에 무광골드 손잡이라 깔끔하고 좋아요. 설치한 등이 무광골드라 톤이 맞아서 더 좋았어요. 실측 기사님도 친절하셨고 설치기사님도 친절하셔서 예정일에 잘 맞춰설치했어요. 도어 한쪽을 거울로 달아서 넓어보이고 좋네요.  처음엔 H브랜드 매장모델 하려고 했었는데 방 사이즈가 애매해서 300짜리만 넣으면 서라운딩이 넓어져야해서 리바트 이 모델로 결정했는데 좋은 선택이었네요. 만족합니다~~,amyl****,20.11.17.,0,장롱/붙박이장,침실가구
,,,,,,,
26,5,붙박이 가격대비 네이버 페이 적립이 적네요 깔끔하고 잘쓰고 있습니다,bigb****,21.01.25.,0,장롱/붙박이장,침실가구
,,,,,,,
27,5,설치가 생각보다 오래걸렸는데 말끔하게 설치해주셨습니다 ^^,isla****,21.02.16.,0,장롱/붙박이장,침실가구
,,,,,,,
28,5,뉴폴리아 기대보다 훨씬 이쁩니다,suny****,20.12.17.,0,장롱/붙박이장,침실가구
,,,,,,,
29,5,코디네이터분이랑 설치기사님들까지 모두 친절하고 제품도 만족스러워요~,kmjs****,21.01.20.,0,장롱/붙박이장,침실가구
,,,,,,,
30,3,"붙박이장 디자인은 고른것과 같아요 
그런데 설치끝나고 집에 와보니 이미 가시고 박스와 콜라병은 두고 가셨고요 전화드리니 다 가지고내려왔다고해서 사진 보내드렸더니 내일 가져가신대요 
그리고 작은방이라 자재가 작게나와서 천장이 마무리가 저렇대요 
공기가 통해야되니까 저것도 괜찮대요 
잉???그럼 안방은 공기가 안통해되 되나요?
안방과 작은방 일괄성이 없네요
리바트제품 평이 좋아서 안방과 작은방 둘다 리바트로 했는데 마무리가 너무 별로네요",babo****,20.12.02.,0,장롱/붙박이장,침실가구
,,,,,,,
31,4,"깔끔하고 훤해 보이네요
매장에서 보고 눈독들이고 있었던 제품인데 똑같진 않아도 비슷 합니다
저렴한 가격이어서 더 좋아요",qw66****,21.01.04.,0,장롱/붙박이장,침실가구
,,,,,,,
32,5,깔끔하니 설치 잘되어 좋아용,ley4****,21.01.20.,0,장롱/붙박이장,침실가구
,,,,,,,
33,4,"플래너님이 잘 도와주셔서 설치일정도 맞췄고  기사님 친절하시게 설치 잘해주셨습니다. 좌우로 설치했는데 예뻐요. 손잡이가 없는 옵션도 있었으면 좋았을텐데 그점은 좀 아쉽지만 어쩔수없죠.
서랍도 잘 열리고 닫히고 문도 댑핑이 괜찮습니다.
다만 바로 옆 통을 열때 문이 서로 좀 부딪혀서 조심해야할것같아요.",witn****,20.12.16.,0,장롱/붙박이장,침실가구
,,,,,,,
34,4,"이사가기전에 미리 구매했어요.
전화로 실측날짜 정해서 제시간에 딱맞에 오셔서 3d로 가구설치모양 보여주셨고 크기를 조금더 키워서 추가비용은 지불했어요. 실측후 이사전 설치까지 시간이 촉박했는데 다행이 최대한 빨리해주셨구 기사님 두분이 오셔서 3시간 가량 꼼꼼히 설치해주셨어요. 리바트온라인 안좋은 평도 많아 고민했는데 저는 실측 설치까지 만족스러웠고 앞으로 쓰면서도 계속 만족하길 바라는바입니다.",love****,20.11.15.,0,장롱/붙박이장,침실가구
,,,,,,,
35,4,일단 수납공간 많아서 좋아요. 설치 꼼꼼히 해주셨는데 시공 전 길이 측정 때 화장실 스위치 때문에 공간 떼신다 했는데 넘 많이 뗏다 싶긴 하네요. 그래도 만족합니다.,godb****,20.11.25.,0,장롱/붙박이장,침실가구
,,,,,,,
36,5,"아주 만족스러워요 
그레이 하려다 밝은걸로 했는데 너무 잘한거 같아요
장은 리바트하길 너무 잘했어요",chu1****,21.01.01.,0,장롱/붙박이장,침실가구
,,,,,,,
37,5,원룸에 설치했습니다. 깔끔합니다.,o2ps****,20.12.30.,0,장롱/붙박이장,침실가구
,,,,,,,
38,5,깔끔하고 수납장이 많아서 좋아요 빨리처리해주셔서 좋았습니다,kjih****,20.12.28.,0,장롱/붙박이장,침실가구
,,,,,,,
