review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
1,4,"가구는 너무 예뻐요.. 그런데 냄새가  2주이상은 간거 같아요..첨받았을때 2-3일 밤낮으로 창문 열어놓고 환기시켰는데도 심했구요..
서랍열면 사진부분이 영 안좋네요..옷을 넣고 위부분에 닿으면 마감이 잘 안되서 옷이 뜯기거나 옷에 묻어나와서 제가 칼로 살짝씩 깍아냈는데 안돼서 스카치테잎 붙여놨어요..
이부분은 개선을 해야할거같아요..옷을 꽉 채우지않는다해도 이건 아닌거같네요. .",umgi****,21.01.26.,0,서랍장,침실가구
,,,,,,,
2,5,진짜 이쁜데~ 크기만큼 서랍이 넓지는 않아요,kong****,21.03.16.,0,서랍장,침실가구
,,,,,,,
3,4,사이즈 색상 너무 만족하는데 배송비+계단 작업비용 까지 배송비가 너무 많이들어서 별표하나 뺄께요 ㅠㅠ 생각보다 안에가 깊지가 않아서 이불같은건 안들어 가지만 그대로 장식용으로 잘 사용할꺼 같아요,ektm****,20.12.31.,0,서랍장,침실가구
,,,,,,,
4,3,"배송비 사만원에서 ..에리베이터가 없다고
사층까지 사만원을 더받는지 모르겠네요..ㅜ
배송비 8만원은 넘하네요..
가구냄새도 넘나고..가격에비에 ..실망했습니다",coor****,21.01.20.,0,서랍장,침실가구
,,,,,,,
5,4,예쁘고 다 좋은데 냄새가 너무 많이 나네요..좀 심하게....,umgi****,20.12.25.,0,서랍장,침실가구
,,,,,,,
6,5,사진과  같고 좋습니다.,psk3****,21.01.19.,0,서랍장,침실가구
,,,,,,,
7,5,배송일짜에 정확하게 배송해주시고 서랍장이  수납하기도좋고 색상이 넘 예뻐요.맘에 쏙 들어요.,gudd****,20.12.21.,0,서랍장,침실가구
,,,,,,,
8,5,수납공간도 넓고 예뻐요~ 아주 마음에 듭니다,jell****,20.11.30.,0,서랍장,침실가구
,,,,,,,
9,3,냄새가 심해서 2주정도 못썼어요. 디자인은 만족해요.,desi****,20.12.01.,0,서랍장,침실가구
,,,,,,,
10,5,좋습니다.두개쨉니다.,psk3****,20.11.22.,0,서랍장,침실가구
,,,,,,,
11,5,이쁜데 배송비가 너무 사악하네용,suji****,20.11.27.,0,서랍장,침실가구
,,,,,,,
12,5,제 날짜에 배송되어 믿음이가고 실물이 너무 마음에 들었습니다 실물보니 색상도 민트와 그린 중간색이라 너무 맘에들어요 서랍이 통짜로 되어있어서 한쪽 손잡이로 열면 서랍이 휘청 흔들거리네요  이것만 보안해주시면 만족입니다,jma1****,20.10.29.,0,서랍장,침실가구
,,,,,,,
review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
1,5,배송상태 만족입니다 두분의 기사님이 정성스럽게 배송해주셨어요 일단 가구는 퀄리티가 좋습니다 원목이라 무겁습니다 (많이~)뒷면은 앞판 옆판과 달리 원목이 아니점~유의하세요 약간  얇은 느낌의 합판같아요 눌러보았을때 울렁거리진 않는것으로 보아 아주 얇진 않는듯 하나 두께는 확인 할수 없었습니다  벽면에 붙여두고 사용하신다면 괜찮습니다 보이지 않으니까요~결론은 가격대비 꽤 좋은상품인것 같아요 저는 유리 추가하여 5만원  배송비 4만5천원이 더 지출되었습니다 유리두께 두껍고 tv올려놓기 좋습니다,anho****,21.03.22.,1,서랍장,침실가구
,,,,,,,
2,5,원래 구매하려던 가구가 배송이 계속 지연되서 한달 넘게 기다리다가 이 가구로 변경했는데 다행히 요 제품은 빨리 도착했네요:-) 화이트랑 그레이 중 고민하다가 그레이로 주문 했는데 포인트 가구로 딱 이에요! 서랍장 깊이나 크기는 제가 생각한거보다 조금 작은데 가구는 참 예쁘고 고급스러워요 ! 새 가구라 냄새가 조금 있었는데 하루종일 열어놓으니 냄새는 금방 빠지네요ㅎ.ㅎ 같은 제품으로 하나 더 구입 할 예정입니당!,goem****,21.03.24.,1,서랍장,침실가구
,,,,,,,
3,4,"구정 때문에 날짜는 원래 배송일 보다 일주일 지나서 받았어요  디자인이나 내구성은 튼튼하네요
냄새는 심각한 정도는 아니구요 새 가구 냄새정도 되구요 칠이 약간 군데군데 잘 칠해지지 않아서 슬쩍 보이긴 해도 많이 신경쓸 정도는 아니예요 가격대비 사이즈나 용도가 좋네요^^ 예쁘게 잘쓸께요",hyel****,21.03.09.,1,서랍장,침실가구
,,,,,,,
