"review_no","star","review","customerId","reviewDate","pd_no","librarycate_no","category_no"
"1","1","온갖 다양한 삐걱거림의 향연입니다. 잘하면 연주도 가능 할 것 같아요!
 처음엔 예뻐서 좋았는데 이제 의자 소리 때문에 신경과민 걸릴 것 같아요. 산지 2주 뒤 부터 소리 나기 시작하더니 2달 뒤인 지금 의자에 앉기가 무섭습니다 앉아 있다보면 스트레스를 너무 많이 받아 속이 울렁거려요 제가 왜 일 때문이 아닌 의자때문에 이렇게 스트레스를 받아야 하는지...
 네이버에서 삐걱소리는 꽉조여주거나 기름칠 해주면 해결 된대서 다 해봤습니다 네네 계속 소리남 더 짜증만 남 ㅎㅎ
그거 빼곤 다 좋아요 ㅇㅖ쁘고 푹신하고ㅎㅎ대신 미쳐버리겠다는 거 빼고ㅎㅎ
이 밤에 영상까지 찍을 정도로 미쳐버린 상태","tpsk****","21.03.21.","0","의자","서재/사무용가구"
"2","4","필수 기능은 만족했는데 기대한 옵션이 배신해서 별 하나 뺐습니다. 
1. 나름 견고한데.. 재질이.. 
방석은 따갑고 프레임은 계란 상자같은 질감이에요. 심지어 중심봉 감싸는 2단 프레임은 플라스틱 컵처럼 고정되지 않더군요. 
-근데 또 쓰는 데엔 문제가 없어ㅋㅋ
2. 상품 설명 짤에서 등받이랑 방석이 동시에 움직이잖아요.
정확하게 말씀드릴게요. 방석은 수동이에요. 뒤에서 발로 밀어야 드르륵 드르륵 나오고 들어가고 함.
-이것 또한 쓰는 데엔 문제 없음ㅋㅋ
결론, 디자인도 예쁘고 무게중심도 아래에 있어서 쓰기 편하다 팔걸이는 의외로 매우 편하다. 단, 재질과 신세계 고성능은 기대하지 말라.(+처음 받을 때 꼬질꼬질하고 공장냄새도 남) 가격대비 매우매우 살만 한 제품. 

추가로 제 키가 160인데 허리 들어가는 부분이 높아서 키가 비슷하신 분들은 방석 두툼한 거 준비하시길..","whth****","21.04.01.","0","의자","서재/사무용가구"
"3","4","초반에 쓰면서 약간의 축이 기울어진 느낌은 많이 줄었습니다 결합되면서 느끼던 균형이 어느정도 맞는 기분? 등받이 매쉬인것도 좋은 선택이었구요 오랫동안 공부하거나 작업하는게 아니라서 3~4시간정도는 크게 피로하지 않습니다 바퀴도 너무 미끄러지지 않고 어느정도 잡아주기 때문에 발올리고 심하게 기울이지 않는 이상 흔들리지 않습니다.
등받이 쿠션이나 방석을 살거 같아서 이걸로 결정했는데 좋은 선택이었던거 같습니다 다른 옵션 제품도 궁금하긴 하네요... 이 라인에서 등받이 부분만 조절되거나 아님 제가 산 제품에서 색이 더 다양하게 나오면 좋을거 같습니다.","j455****","21.04.06.","0","의자","서재/사무용가구"
"4","4","밝은 느낌의 색상이라 좋네요, 가벼우면서 살짝 기댈 수 있기는 한데.. 너무 기대면 뒤로 뒤집어져요..ㅠㅠ 아드님 두번 넘어지셨어요..ㅎㅎ 
가격대비 이정도면 편안하고 좋습니다.","chrc****","21.04.07.","0","의자","서재/사무용가구"
"5","5","동생 의자로 사준지 5년이 넘는지라, 제 의자 구매할 때도 고민 없이 믿고 주문했어요! 

동생도 의자 몇년동안 사용하면서 고장난 적 없고, 여전히 튼튼하고 편하다고 하네요. 

단언컨대 이 가격에 이 내구성, 편안함, 퀄리티 갖춘 의자는 없다고 생각합니다. 바이럴 아니고 찐 후기입니다. 고민하시는 분들 믿고 사세요. 

+ 조립도 어렵지 않아요. 설명서 보고 따라하면 뚝딱.","bjw0****","21.04.07.","0","의자","서재/사무용가구"
"6","5","완전 좋아요 너무 좋은 선택이었네요 처음에 디자인은 물론 3번이 끌렸지만 소음관련 후기를 봐서 2번을 선택했는데 너무 잘한 선택이에요 등받이가 허리를 탄탄하게 잡아주고 의자도 편해요 등받이 뒤로 적당히 넘어가는 것도 좋도 팔걸이도 은근 딱 편해요 오히려 쓰기에 제일 좋은 디자인인 것 같네요 다만 배송온 상태는 좀 놀랐어요ㅜㅠ 택배아저씨가 마구 던지시더라구요,,,무겁고 크긴하지만ㅜㅜ그에 비해 박스포장은 정말 미흡해요 한쪽은 박스가 터지고 테이프도 끊겨왔어요 다행히 상품파손은 없었지만 최소한 뽁뽁이는 있으면 좋겠다 싶네요 설명서도 안보여서 잉??? 했는데 박스에 그려져 있더라구요 어렵진 않았습니다 구매하신다면 드라이버는 준비하세요!","flsd****","21.03.28.","0","의자","서재/사무용가구"
"7","5","깔끔한 의자에요~패브릭은 상세설명처럼 약간의 카키빛이 돌구요..플라스틱 몸체는 화이트라기 보다 연한 쿨그레이에 가깝네요~~어디에 두어도 어울릴만한 디자인과 컬러에요~아이 첫 의자인데 중간에 한번 바꿀 요량으로 욕심내지 않고 구매했는데 굉장히 만족합니다.조립은  나사 여섯개만 꼼꼼히 조여 주면 되서 어려울 게 없었어요~다만 조립할 때 설명서를 보면서 그대로 따라 하는 게 가장 빠르고 쉽게 할 수 있는 방법 같아요~^^","e_mi****","21.03.23.","0","의자","서재/사무용가구"
"8","5","디자인이랑 기능도 다 마음에 들었는데 한가지 아쉬운점을 꼽자면 조립설명서가 없어서 인터넷 후기를 참고해서 조립했어요.. 볼트부분이 너무 뻑뻑해서 끼우는게 힘들었어요..","dndn****","21.04.05.","0","의자","서재/사무용가구"
"9","4","배송빠르고 가격착하고 무엇보다 조립은 쉬어 9세 아드님이 혼자 조립을 했는데요.. 설명서가 없어 등받이를 나사한군데만 맞아 거기에 끼는게 맞는건지 모르겠고 나사하나만 조여도 괜찮은건지 모르겠네요.. ㅠㅠ","jsjk****","21.03.07.","0","의자","서재/사무용가구"
"10","4","작으면 어떻하나 했는데 넉넉하더라구요 높이 조절시에도 부드럽게 내려가고 조립도 간편해요 조립할수 있는걸 보내 주시더라구요
박스가 약간 파손 되어 있어서
제품에 이상 있으면 어떻하지 했는데 제품에 이상 없이 잘왔더라구요 
약간 점이 있긴 한데 하자없이 제품이 잘 왔어요","stil****","21.03.24.","0","의자","서재/사무용가구"
"11","5","색상도 기능도 편안함도 모두 만족스러운 의자에요~
우드톤의 아이방 가구와 너무 잘 어울리고,
부드럽고 따듯한 느낌이 들어요.
시디즈 링고 쓰다가 고학년이 되니 작은 느낌이 들어 바꿔줬는데 정말 잘 선택한것 같네용!!
둘째도 바꿔주려구요~~","kyok****","21.02.10.","0","의자","서재/사무용가구"
"12","5","조림힘들다 소리난다 등 후기에 반신반의하고 구입했으나 좋아요. 만족해요
여자 혼자 조립 10분정도 걸렸어요
나름 힘을 줘서 볼트를 조여야하니 팔목아픈건 사실이지만 조립 힘들지 않았어요.
마감처리가 깔끔하진 않지만 만족해요. 외관상은 문제 없어요.
쿠션 좀 딱딱? 넘 푹신한거보다 좋아요.","jazz****","21.03.23.","0","의자","서재/사무용가구"
"13","4","허리가 아파서 가성비 의자 찾다가 목부분없고 메쉬등받이에 무난한 의자 사봤어요 
사진별로 느낌 적어놨고 이거말고 딴 의자는 등받이가 비어있어서 혹시나 보조쿠션 설치시 빠질거같아 데이브로 선택했는데 만족합니다 쌩화이트 가구는 아니지만 다른 테이블과 잘 어울려요 조립은 초보라 20분걸린거같고 조립순서 설명서대로 박스위에 올리시고 밝은 조명 아래서 해주세요 구멍찾기 힘들어서 손전등 켜고 다 꽂아놓고 조금씩 돌려가며 했습니다 그래야 균형이 맞더라고요 
그리고 바퀴도 막 돌아가지않아서 좋아요","j455****","21.01.30.","0","의자","서재/사무용가구"
"14","5","허리가 아파서 의자를 바꾸려고했는데 
키 174남성이 써도 될만큼 적절하게 높이를 조절할수있고, 특히 등쪽 메쉬부분이 정말 허리를 잘감싸줘서 편하고 공기도 잘통할거같아요 좋아요","dpsl****","21.03.24.","0","의자","서재/사무용가구"
"15","5","3~4만원짜리 의자 샀는데 고장나서 이 의자 샀어요. 가격 차이는 크지 않지만 훨씬 편하고 튼튼하고 좋아요.","dkat****","21.04.08.","0","의자","서재/사무용가구"
"16","5","디자인도 맘에 들고 편해요
예전에 싸고 예쁜 의자 샀다가 허리 아파서
결국 이걸로 구매하네요. 잘 쓸게요","tdie****","21.04.03.","0","의자","서재/사무용가구"
"17","5","딸이 직접 선택한 제품인데
다행히 맘에 드네요
아이도 너무  좋아하고요
조립도 편하고 튼튼하고 좋네요","plus****","21.04.02.","0","의자","서재/사무용가구"
