review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,4,Dvd는 가로로 사용하기가 힘드네요 ㅜㅜ 넘어지면 밑으로 떨어져서요 ㅠㅠ,euih****,21.02.08.,0,CD/DVD장,수납가구
,,,,,,,
2,4,"배송이 너무 느려 걱정했는데
제품받고 보니 심플하고 좋네요",shim****,21.01.15.,0,CD/DVD장,수납가구
,,,,,,,
3,4,가성비 좋습니다..,dgfa****,20.12.09.,0,CD/DVD장,수납가구
,,,,,,,
4,5,선반처럼 가로로 설치하려다 그냥 세로로 세웠어요. 시디나 디비디 수납공간이 살짝만 더 컸으면 좋겠어요. 확장판처럼 박스에 들어있는 건 안 들어가더라구요. 트리형 원목시디꽂이 쓰다가 이사하면서 바꿨는데 깔끔하고 마음에 듭니다.,silv****,20.04.10.,0,CD/DVD장,수납가구
,,,,,,,
5,5,"게임 타이틀을 보관 할려구 구매했어요 
설치도 쉽고 깔끔해서 너무 마음에 들어요
지금은 타이틀이 몇개 안되지만 많이 늘어나면 재구매 할게요~^^",nitt****,20.03.25.,0,CD/DVD장,수납가구
,,,,,,,
6,5,"빨강과 흰으로 타이틀 선반만들었어요 
굿입니다~",nitt****,20.03.25.,0,CD/DVD장,수납가구
,,,,,,,
7,5,좋은 제품 감사합니다,dksd****,20.04.08.,0,CD/DVD장,수납가구
,,,,,,,
8,5,굿굿!! 싸이즈도적당하고좋아욧~,dunh****,20.01.30.,0,CD/DVD장,수납가구
,,,,,,,
9,5,씨디 디브이디 정말 잘들어가고 잘쓰고있습니다~,dunh****,20.01.30.,0,CD/DVD장,수납가구
,,,,,,,
10,5,씨디 디브이디 정말 잘들어가고 잘쓰고있습니다~,dunh****,20.01.30.,0,CD/DVD장,수납가구
,,,,,,,
11,5,잘 받았습니다. 감사합니다,choi****,19.11.14.,0,CD/DVD장,수납가구
,,,,,,,
12,5,잘 받았고 설치도 했습니다. 감사합니드,choi****,19.11.11.,0,CD/DVD장,수납가구
,,,,,,,
13,5,좋아요좋아요좋아요좋아요,shou****,19.10.05.,0,CD/DVD장,수납가구
,,,,,,,
14,4,예상했던 느낌이 그대로 나서 만족합니다. 노란색 예뻐요~ 모서리에 페인트칠이 살짝 벗겨진 제품이 온 건 좀 아쉽습니다.,mudr****,19.01.06.,0,CD/DVD장,수납가구
,,,,,,,
15,2,생각보다 밝은 회색입니다 ,sjk5****,18.10.14.,0,CD/DVD장,수납가구
,,,,,,,
16,3,ㅗㅎ로ㅓㅓ효 ㅓㅗㅊㅇ로ㅕㄹ여쟈됴초옫ㅎㄷㅎ뇨챠롱ㅗ오라해롣ㅎ러해러옹ㅎㅇㅓ햐로옪노앵ㄹ어어ㅗ야래ㅑㅎ돚ㅗ챠해ㅐ허동,dgfa****,18.10.13.,0,CD/DVD장,수납가구
,,,,,,,
17,3,ㅗㅗㅎㄹㄹㅊ호ㅗ화ㅐ,dgfa****,18.10.13.,0,CD/DVD장,수납가구
,,,,,,,
18,5,"깔끔해요~ 흰벽에 장식겸 cd보관겸 설치했어요.
생각했던것처럼 깔끔하게 나와서 좋네요.
가격도 적당한듯요~",bedb****,18.07.23.,0,CD/DVD장,수납가구
,,,,,,,
19,5,"너무 맘에 듭니다.선반처럼 사용하려고 두개 구입했어요.
무겁지않고색상도 좋네요",jamt****,18.06.27.,0,CD/DVD장,수납가구
,,,,,,,
20,5,잘받았습니다 ,jini****,18.06.26.,0,CD/DVD장,수납가구
,,,,,,,
21,5,잘쓰겠습니다 많이파시구요 아직 안달아봐서 모르겠지만 싸게 잘산거같습니다,musi****,18.02.05.,0,CD/DVD장,수납가구
,,,,,,,
22,4,예뻐여 생각했던 그대로인데 설치하고 보니 중간에 철사?같이 삐쭉 날카롭게 튀어나온게 있어요 마감이 좀 부실해요,alle****,17.08.07.,0,CD/DVD장,수납가구
,,,,,,,
23,5,페인트 칠한 곳 일부가 떨어져 나가긴 했지만 안 보이게 달면 될거 같네요,sori****,17.08.04.,0,CD/DVD장,수납가구
,,,,,,,
24,5,잘받앗습니다,alle****,17.08.07.,0,CD/DVD장,수납가구
,,,,,,,
25,5,"완전 괜츈하네요~~^^
",keum****,17.08.07.,0,CD/DVD장,수납가구
,,,,,,,
26,5,저렴하고 제품도 빨리왔어요!,acbm****,17.07.18.,0,CD/DVD장,수납가구
,,,,,,,
27,5,아주 잘 받았습니다.,ugh1****,17.07.01.,0,CD/DVD장,수납가구
,,,,,,,
28,4,"좋아요~ 생각보다 작은감에 당황했지만 
설치하니 아담하니 좋네요~~ 
잘쓸께요~~~~
번창하세요~^^",nyaj****,17.05.29.,0,CD/DVD장,수납가구
,,,,,,,
29,5,너무좋아서 재구매했어요,yann****,17.06.05.,0,CD/DVD장,수납가구
,,,,,,,
30,5,잘 받았습니다 감사합니다,happ****,17.05.30.,0,CD/DVD장,수납가구
,,,,,,,
31,4,조아요 사진 그대로임 쓸만함 근데 큰 시디는 안들어감 크기보고 사야됨 ㅋㅋㅋ 되는게잇고 안되는게잇음,imin****,17.05.07.,0,CD/DVD장,수납가구
,,,,,,,
32,5,좋아요~~~,nyaj****,17.05.29.,0,CD/DVD장,수납가구
,,,,,,,
33,5,사진그대로임,imin****,17.05.07.,0,CD/DVD장,수납가구
,,,,,,,
34,5,좋아요 배송이 정말 빨라서 놀랐습니다. 컬러플 해서 포인트로 인테리어에도 괜찮은것 같고 저렴하게 잘 샀네요,smap****,17.04.18.,0,CD/DVD장,수납가구
,,,,,,,
35,5,배송빨라서좋네요,shin****,17.05.02.,0,CD/DVD장,수납가구
,,,,,,,
36,5,배송 빠르네요,smap****,17.04.18.,0,CD/DVD장,수납가구
,,,,,,,
37,5,ㅁㄴ ㅏ아ㅣㅂ저ㅁ니ㅏㅓ이바저이ㅏㅁ너이ㅓ미나ㅓㅇ니ㅏ먼이ㅏㅓㅂㅈ지ㅏ어미나어ㅣ바저임ㄴ ㅁ니ㅏㅓㅇ비자ㅓ임ㅇ너이바저이ㅏㅁ너이ㅏㅓㅁ니ㅏ업지자어ㅣㅁ나ㅓ입자ㅓ이ㅏㅁ너이ㅏㅂ저이ㅏㅓㅁ니아ㅓㅂ지자어ㅣㅁ나ㅓ입자ㅓ이마너입자ㅓ임나ㅓ이ㅏㅂ저이ㅏ먼이바ㅓ지아ㅓㄴ밍나ㅓㅣ마너이ㅏㅁ너이바정미나업지ㅏ,o756****,17.04.10.,0,CD/DVD장,수납가구
,,,,,,,
38,5,너인ㅁ나ㅓㅇ비자ㅓ이마너입ㅈ자ㅓ이마너이ㅏ버지아ㅓㅁ니아ㅓ비자어미나어미나ㅓㅇ비자ㅓ임나ㅓ입자ㅓ이마너입자ㅓ이마너이바저임나ㅓ이마너이바ㅓㅈ이ㅏㅁ넝,o756****,17.04.10.,0,CD/DVD장,수납가구
,,,,,,,
